Distribuição dos casos notificados e confirmados (autóctones e importados ) de dengue segundo município de residência, por mês de início de sintomas,ESP, 2025;;;;;;;;;;;;;;;;;;;
;;;;;;;Janeiro ;;;Fevereiro;;;Março;;;total;;;
DRS;DRS NOME;GVE;GVE NOME;COD_RS_2024;NOME_RS_2024;MUN-RES;notificados ;confirmados;;notificados ;confirmados;;notificados ;confirmados;;notificados ;confirmados;;
;;;;;;;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;
;;;;;;;;;;;;;;;;;;;
15;SÃO JOSÉ DO RIO PRETO;30;JALES;35153;JALES;351420 Dolcinópolis;24;12;0;13;8;0;3;1;0;40;21;0;
3;ARARAQUARA;12;ARARAQUARA;35032;CORAÇÃO DO DRS III;351430 Dourado;18;0;0;43;6;0;160;33;0;221;39;0;
11;PRESIDENTE PRUDENTE;22;PRESIDENTE VENCESLAU;35111;ALTA PAULISTA;351440 Dracena;256;30;1;355;56;3;438;77;2;1.049;163;6;
6;BAURU;15;BAURU;35062;BAURU;351450 Duartina;11;2;2;32;22;0;116;59;0;159;83;2;
13;RIBEIRÃO PRETO;24;RIBEIRAO PRETO;35131;HORIZONTE VERDE;351460 Dumont;118;31;0;238;41;1;201;55;4;557;127;5;
9;MARÍLIA;19;MARILIA;35093;MARÍLIA;351470 Echaporã;84;50;1;148;84;0;283;160;1;515;294;2;
12;REGISTRO;23;REGISTRO;35121;VALE DO RIBEIRA;351480 Eldorado;0;0;0;10;1;0;52;5;0;62;6;0;
10;PIRACICABA;20;PIRACICABA;35103;PIRACICABA;351490 Elias Fausto;357;221;4;355;185;0;288;125;3;1.000;531;7;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35151;CATANDUVA;351492 Elisiário;19;5;0;30;11;0;17;11;0;66;27;0;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35151;CATANDUVA;351495 Embaúba;15;11;0;16;10;0;46;30;0;77;51;0;
1;GRANDE SÃO PAULO;10;OSASCO;35013;MANANCIAIS;351500 Embu das Artes;132;9;1;282;10;3;480;36;0;894;55;4;
1;GRANDE SÃO PAULO;10;OSASCO;35013;MANANCIAIS;351510 Embu-Guaçu;64;24;0;286;45;0;143;29;1;493;98;1;
11;PRESIDENTE PRUDENTE;21;PRESIDENTE PRUDENTE;35112;ALTA SOROCABANA;351512 Emilianópolis;32;16;3;23;12;5;16;11;5;71;39;13;
