DRS;DRS_1;GVE;_1;Região de Saúde;Região de Saúde_2;município;Janeiro;Janeiro_4;Janeiro_5;Fevereiro;Fevereiro_6;Fevereiro_7;Março;Março_8;Março_9;Abril;Abril_10;Abril_11;Maio;Maio_12;Maio_13;Junho;Junho_14;Junho_15;Julho;Julho_16;Julho_17;Agosto;Agosto_18;Agosto_19;Setembro;Setembro_20;Setembro_21;Outubro;Outubro_22;Outubro_23;Novembro;Novembro_24;Novembro_25;Dezembro;Dezembro_26;Dezembro_27
;;;;;;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;
;;;;;;;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35155;SÃO JOSÉ DO RIO PRETO;350460 Bady Bassitt;89;7;1;214;31;6;293;45;2;327;80;0;353;141;0;245;88;6;186;68;1;125;42;3;175;38;1;163;28;2;146;24;0;329;136;2
6;BAURU;15;BAURU;35062;BAURU;350470 Balbinos;2;0;0;14;1;1;60;12;0;40;13;0;6;0;1;2;2;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35155;SÃO JOSÉ DO RIO PRETO;350480 Bálsamo;37;4;0;78;10;0;78;25;0;93;29;0;210;56;0;157;42;0;164;54;0;74;27;0;47;16;0;39;10;0;33;13;0;89;49;0
17;TAUBATÉ;33;TAUBATE;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;350490 Bananal;18;12;0;67;56;1;239;202;1;270;236;1;133;100;0;44;20;0;15;10;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0
6;BAURU;16;BOTUCATU;35061;VALE DO JURUMIRIM;350500 Barão de Antonina;1;0;0;0;0;0;15;1;2;76;7;5;109;36;9;69;10;0;19;3;0;10;1;0;7;2;0;0;0;0;2;0;0;5;0;0
2;ARAÇATUBA;11;ARACATUBA;35023;CONSÓRCIOS DO DRS II;350510 Barbosa;5;1;0;29;5;0;22;1;0;19;1;0;27;11;0;31;11;0;28;5;0;16;4;0;12;0;0;12;3;0;51;15;0;82;29;0
6;BAURU;15;BAURU;35064;JAU;350520 Bariri;931;874;2;1562;1520;2;735;684;2;204;174;0;51;35;0;31;12;1;15;2;0;8;2;0;6;1;1;5;2;0;9;1;1;5;0;0
6;BAURU;15;BAURU;35064;JAU;350530 Barra Bonita;91;17;5;243;33;16;452;87;22;696;214;47;823;301;62;321;96;19;105;27;2;68;7;1;41;1;0;16;2;0;23;0;0;16;0;0
16;SOROCABA;32;ITAPEVA;35162;ITAPEVA;350535 Barra do Chapéu;1;0;0;3;2;0;47;21;1;224;94;2;162;64;1;38;3;0;5;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0
12;REGISTRO;23;REGISTRO;35121;VALE DO RIBEIRA;350540 Barra do Turvo;1;0;0;46;13;1;73;51;1;1;0;0;4;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;BARRETOS;14;BARRETOS;35051;NORTE-BARRETOS;350550 Barretos;404;53;0;1200;279;0;1608;599;0;1688;890;0;1581;1090;1;759;479;2;313;163;0;203;76;0;192;43;0;167;37;0;170;40;0;205;54;0
13;RIBEIRÃO PRETO;24;RIBEIRAO PRETO;35131;HORIZONTE VERDE;350560 Barrinha;79;19;0;402;108;1;459;206;0;268;143;2;381;185;0;203;61;0;72;10;0;47;5;0;41;0;0;39;2;0;39;5;0;15;2;0
1;GRANDE SÃO PAULO;10;OSASCO;35014;ROTA DOS BANDEIRANTES;350570 Barueri;156;18;12;1134;215;12;3337;872;6;5162;1466;1;5075;1642;1;1143;287;3;258;36;0;124;16;0;113;7;0;71;4;0;82;8;0;94;4;0
9;MARÍLIA;19;MARILIA;35095;TUPÃ;350580 Bastos;12;2;0;76;4;1;118;13;1;63;6;1;34;11;0;19;6;1;12;2;0;12;4;0;8;3;0;12;1;0;11;4;0;9;2;1
13;RIBEIRÃO PRETO;24;RIBEIRAO PRETO;35133;VALE DAS CACHOEIRAS;350590 Batatais;507;164;0;1539;664;3;1623;1313;2;1677;1465;8;1756;1397;3;568;284;0;171;57;0;316;104;0;129;7;0;68;3;0;80;9;0;26;8;0
6;BAURU;15;BAURU;35062;BAURU;350600 Bauru;947;368;1;2094;1114;5;2559;1526;0;4341;2874;0;5877;4501;1;3124;2230;0;1418;951;0;1009;604;0;1082;609;0;958;537;0;864;404;0;993;101;1
5;BARRETOS;14;BARRETOS;35052;SUL-BARRETOS;350610 Bebedouro;1.573;885;5;3172;1963;9;2955;1963;4;1971;1279;25;891;558;1;162;47;2;66;11;0;9;0;0;9;2;0;12;0;0;31;1;0;122;17;0
2;ARAÇATUBA;11;ARACATUBA;35021;CENTRAL DO DRS II;350620 Bento de Abreu;2;0;0;6;0;0;5;2;1;18;2;9;16;1;11;52;31;10;19;15;0;11;7;0;9;8;0;4;3;0;0;0;0;5;4;0
9;MARÍLIA;13;ASSIS;35094;OURINHOS;350630 Bernardino de Campos;24;16;0;169;161;2;417;414;2;267;264;1;117;105;3;25;15;0;2;2;0;1;1;0;1;1;0;6;3;0;5;3;0;10;7;0
